datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,ME,ME,1554.670,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,ATSI,OE,6637.799,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,OVEC,OVEC,32.000,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,ATSI,PAPWR,525.018,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,PE,PE,3795.108,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,2509.452,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,PL,PLCO,4021.991,False
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,PN,PN,1839.850,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,PS,PS,4197.510,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,RECO,RECO,139.640,False
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,PEP,SMECO,312.104,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,PL,UGI,92.987,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,AE,VMEU,81.575,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RTO,RTO,RTO,RTO,84089.423,False
10/1/2025 12:00:00 PM,10/1/2025 8:00:00 AM,RFC,MIDATL,AE,AECO,858.151,False
10/1/2025 12:00:00 PM,10/1/2025 8:00:00 AM,RFC,WEST,AEP,AEPAPT,3788.135,True
10/1/2025 12:00:00 PM,10/1/2025 8:00:00 AM,RFC,WEST,AEP,AEPIMP,3345.591,True
10/1/2025 12:00:00 PM,10/1/2025 8:00:00 AM,RFC,WEST,AEP,AEPKPT,525.598,True
